"Identifier","Source String","Context","Translation"
"AccessibilityOptions.altText","Visual elements in the resource have descriptions that can be accessed by screen readers for the benefit of blind learners","
-- CONTEXT --
","Visual elements in the resource have descriptions that can be accessed by screen readers for the benefit of blind learners"
"AccessibilityOptions.audioDescription","The resource contains a second narration audio track that provides additional information for the benefit of blind users and those with low vision","
-- CONTEXT --
","The resource contains a second narration audio track that provides additional information for the benefit of blind users and those with low vision"
"AccessibilityOptions.highContrast","The resource text and visual elements are displayed with high contrast for the benefit of users with low vision","
-- CONTEXT --
","The resource text and visual elements are displayed with high contrast for the benefit of users with low vision"
"AccessibilityOptions.signLanguage","Synchronized sign language intepretation is available for audio and video content","
-- CONTEXT --
","Synchronized sign language intepretation is available for audio and video content"
"AccessibilityOptions.taggedPdf","The document contains PDF tags that can be accessed by screen readers for the benefit of blind learners","
-- CONTEXT --
","The document contains PDF tags that can be accessed by screen readers for the benefit of blind learners"
"Account.apiDocumentation","API documentation","
-- CONTEXT --
","API documentation"
"Account.apiTokenHeading","API Token","
-- CONTEXT --
","API Token"
"Account.apiTokenMessage","You will need this access token to run content integration scripts for bulk-uploading materials through the Kolibri Studio API.","
-- CONTEXT --
","You will need this access token to run content integration scripts for bulk-uploading materials through the Kolibri Studio API."
"Account.basicInfoHeader","Basic Information","
-- CONTEXT --
","Basic Information"
"Account.changePasswordAction","Change password","
-- CONTEXT --
","Change password"
"Account.completelyDeleteAccountLabel","Completely remove your account from Kolibri Studio","
-- CONTEXT --
","Completely remove your account from Kolibri Studio"
"Account.deleteAccountLabel","Delete account","
-- CONTEXT --
","Delete account"
"Account.editFullNameAction","Edit full name","
-- CONTEXT --
","Edit full name"
"Account.exportAccountDataHeading","Export account data","
-- CONTEXT --
","Export account data"
"Account.exportAccountDataLabel","You will receive an email with all information linked to your account","
-- CONTEXT --
","You will receive an email with all information linked to your account"
"Account.exportAccountDataModalMessage","You'll receive an email with your data when the export is completed","
-- CONTEXT --
","You'll receive an email with your data when the export is completed"
"Account.exportDataButton","Export data","
-- CONTEXT --
","Export data"
"Account.exportFailed","Unable to export data. Please try again.","
-- CONTEXT --
","Unable to export data. Please try again."
"Account.exportStartedHeader","Data export started","
-- CONTEXT --
","Data export started"
"Account.fullNameLabel","Full name","
-- CONTEXT --
","Full name"
"Account.handleChannelsBeforeAccount","You must delete these channels manually or invite others to edit them before you can delete your account.","
-- CONTEXT --
","You must delete these channels manually or invite others to edit them before you can delete your account."
"Account.passwordLabel","Password","
-- CONTEXT --
","Password"
"Account.unableToDeleteAdminAccount","Unable to delete an admin account","
-- CONTEXT --
","Unable to delete an admin account"
"Account.usernameLabel","Username","
-- CONTEXT --
","Username"
"AccountCreated.accountCreatedTitle","Account successfully created","
-- CONTEXT --
","Account successfully created"
"AccountCreated.continueToSignIn","Continue to sign-in","
-- CONTEXT --
","Continue to sign-in"
"AccountDeleted.accountDeletedTitle","Account successfully deleted","
-- CONTEXT --
","Account successfully deleted"
"AccountDeleted.continueToSignIn","Continue to sign-in page","
-- CONTEXT --
","Continue to sign-in page"
"AccountNotActivated.requestNewLink","Request a new activation link","
-- CONTEXT --
","Request a new activation link"
"AccountNotActivated.text","Please check your email for an activation link or request a new link.","
-- CONTEXT --
","Please check your email for an activation link or request a new link."
"AccountNotActivated.title","Account has not been activated","
-- CONTEXT --
","Account has not been activated"
"ActivationExpired.activationExpiredText","This activation link has been used already or has expired.","
-- CONTEXT --
","This activation link has been used already or has expired."
"ActivationExpired.activationExpiredTitle","Activation failed","
-- CONTEXT --
","Activation failed"
"ActivationExpired.requestNewLink","Request a new activation link","
-- CONTEXT --
","Request a new activation link"
